Medida;Etapa_ensino;Ano;Docentes
Total;Educação Básica;2007;636
Total;Educação Básica;2008;646
Total;Educação Básica;2009;689
Total;Educação Básica;2010;746
Total;Educação Básica;2011;770
Total;Educação Básica;2012;812
Total;Educação Básica;2013;833
Total;Educação Básica;2014;876
Total;Educação Básica;2015;853
Total;Educação Básica;2016;863
Total;Educação Básica;2017;870
Total;Educação Básica;2018;870
Total;Educação Básica;2019;831
Total;Educação Básica;2020;832
Total;Educação Básica;2021;844
Total;Educação Básica;2022;934
Total;Educação Infantil;2007;77
Total;Educação Infantil;2008;81
Total;Educação Infantil;2009;98
Total;Educação Infantil;2010;153
Total;Educação Infantil;2011;185
Total;Educação Infantil;2012;198
Total;Educação Infantil;2013;230
Total;Educação Infantil;2014;236
Total;Educação Infantil;2015;235
Total;Educação Infantil;2016;264
Total;Educação Infantil;2017;278
Total;Educação Infantil;2018;269
Total;Educação Infantil;2019;256
Total;Educação Infantil;2020;245
Total;Educação Infantil;2021;237
Total;Educação Infantil;2022;274
Total;Ensino Fundamental;2007;503
Total;Ensino Fundamental;2008;520
Total;Ensino Fundamental;2009;539
Total;Ensino Fundamental;2010;543
Total;Ensino Fundamental;2011;539
Total;Ensino Fundamental;2012;555
Total;Ensino Fundamental;2013;538
Total;Ensino Fundamental;2014;575
Total;Ensino Fundamental;2015;552
Total;Ensino Fundamental;2016;557
Total;Ensino Fundamental;2017;550
Total;Ensino Fundamental;2018;558
Total;Ensino Fundamental;2019;534
Total;Ensino Fundamental;2020;558
Total;Ensino Fundamental;2021;578
Total;Ensino Fundamental;2022;594
Total;Ensino Médio;2007;227
Total;Ensino Médio;2008;230
Total;Ensino Médio;2009;243
Total;Ensino Médio;2010;256
Total;Ensino Médio;2011;249
Total;Ensino Médio;2012;258
Total;Ensino Médio;2013;253
Total;Ensino Médio;2014;276
Total;Ensino Médio;2015;265
Total;Ensino Médio;2016;254
Total;Ensino Médio;2017;248
Total;Ensino Médio;2018;256
Total;Ensino Médio;2019;258
Total;Ensino Médio;2020;251
Total;Ensino Médio;2021;271
Total;Ensino Médio;2022;278
Total;Educação Profissional;2020;12
Total;Educação Profissional;2021;16
Total;Educação Profissional;2022;15
Total;Educação de Jovens e Adultos - EJA;2007;128
Total;Educação de Jovens e Adultos - EJA;2008;115
Total;Educação de Jovens e Adultos - EJA;2009;98
Total;Educação de Jovens e Adultos - EJA;2010;110
Total;Educação de Jovens e Adultos - EJA;2011;107
Total;Educação de Jovens e Adultos - EJA;2012;91
Total;Educação de Jovens e Adultos - EJA;2013;85
Total;Educação de Jovens e Adultos - EJA;2014;68
Total;Educação de Jovens e Adultos - EJA;2015;50
Total;Educação de Jovens e Adultos - EJA;2016;45
Total;Educação de Jovens e Adultos - EJA;2017;49
Total;Educação de Jovens e Adultos - EJA;2018;36
Total;Educação de Jovens e Adultos - EJA;2019;24
Total;Educação de Jovens e Adultos - EJA;2020;19
Total;Educação de Jovens e Adultos - EJA;2021;31
Total;Educação de Jovens e Adultos - EJA;2022;52
Educação Básica;Educação Básica;2007;636
Educação Básica;Educação Básica;2008;646
Educação Básica;Educação Básica;2009;689
Educação Básica;Educação Básica;2010;746
Educação Básica;Educação Básica;2011;770
Educação Básica;Educação Básica;2012;812
Educação Básica;Educação Básica;2013;833
Educação Básica;Educação Básica;2014;876
Educação Básica;Educação Básica;2015;853
Educação Básica;Educação Básica;2016;863
Educação Básica;Educação Básica;2017;870
Educação Básica;Educação Básica;2018;870
Educação Básica;Educação Básica;2019;831
Educação Básica;Educação Básica;2020;832
Educação Básica;Educação Básica;2021;844
Educação Básica;Educação Básica;2022;934
Educação Básica;Educação Infantil;2007;77
Educação Básica;Educação Infantil;2008;81
Educação Básica;Educação Infantil;2009;98
Educação Básica;Educação Infantil;2010;153
Educação Básica;Educação Infantil;2011;185
Educação Básica;Educação Infantil;2012;198
Educação Básica;Educação Infantil;2013;230
Educação Básica;Educação Infantil;2014;236
Educação Básica;Educação Infantil;2015;235
Educação Básica;Educação Infantil;2016;264
Educação Básica;Educação Infantil;2017;278
Educação Básica;Educação Infantil;2018;269
Educação Básica;Educação Infantil;2019;256
Educação Básica;Educação Infantil;2020;245
Educação Básica;Educação Infantil;2021;237
Educação Básica;Educação Infantil;2022;274
Educação Básica;Ensino Fundamental;2007;503
Educação Básica;Ensino Fundamental;2008;520
Educação Básica;Ensino Fundamental;2009;539
Educação Básica;Ensino Fundamental;2010;543
Educação Básica;Ensino Fundamental;2011;539
Educação Básica;Ensino Fundamental;2012;555
Educação Básica;Ensino Fundamental;2013;538
Educação Básica;Ensino Fundamental;2014;575
Educação Básica;Ensino Fundamental;2015;552
Educação Básica;Ensino Fundamental;2016;557
Educação Básica;Ensino Fundamental;2017;550
Educação Básica;Ensino Fundamental;2018;558
Educação Básica;Ensino Fundamental;2019;534
Educação Básica;Ensino Fundamental;2020;558
Educação Básica;Ensino Fundamental;2021;578
Educação Básica;Ensino Fundamental;2022;594
Educação Básica;Ensino Médio;2007;227
Educação Básica;Ensino Médio;2008;230
Educação Básica;Ensino Médio;2009;243
Educação Básica;Ensino Médio;2010;256
Educação Básica;Ensino Médio;2011;249
Educação Básica;Ensino Médio;2012;258
Educação Básica;Ensino Médio;2013;253
Educação Básica;Ensino Médio;2014;276
Educação Básica;Ensino Médio;2015;265
Educação Básica;Ensino Médio;2016;254
Educação Básica;Ensino Médio;2017;248
Educação Básica;Ensino Médio;2018;256
Educação Básica;Ensino Médio;2019;258
Educação Básica;Ensino Médio;2020;251
Educação Básica;Ensino Médio;2021;271
Educação Básica;Ensino Médio;2022;278
Educação Básica;Educação Profissional;2020;12
Educação Básica;Educação Profissional;2021;16
Educação Básica;Educação Profissional;2022;15
Educação Básica;Educação de Jovens e Adultos - EJA;2007;128
Educação Básica;Educação de Jovens e Adultos - EJA;2008;115
